unique_id,ds,y_hat,y_hat_lower,y_hat_upper
0103010H0AAAAAA,2024-09-01,181700.6470646783,174166.8243033936,189234.46982596302
0103010H0AAAAAA,2024-10-01,184849.0714161989,177287.40456416755,192410.73826823023
0103010H0AAAAAA,2024-11-01,188783.7989970955,179978.7039885762,197588.8940056148
0103010H0AAAAAA,2024-12-01,192718.5265779921,182825.06456325765,202611.98859272656
0103010H0AAAAAA,2025-01-01,196653.2541588887,185779.8240117394,207526.68430603802
0103010H0AAAAAA,2025-02-01,200587.98173978532,188815.88015625838,212360.08332331225
0103010H0AAAAAA,2025-03-01,204522.70932068193,191915.8354726251,217129.58316873875
0103050L0AAAAAA,2024-09-01,890672.0387377368,866054.6907393286,915289.3867361449
0103050L0AAAAAA,2024-10-01,882032.9996330763,853085.0929165805,910980.906349572
0103050L0AAAAAA,2024-11-01,909687.9151249918,879637.2016365131,939738.6286134705
0103050L0AAAAAA,2024-12-01,917295.6198409031,886181.1624446004,948410.0772372058
0103050L0AAAAAA,2025-01-01,915097.3186668766,882954.3017430403,947240.335590713
0103050L0AAAAAA,2025-02-01,856020.2822235718,822880.613926111,889159.9505210326
0103050L0AAAAAA,2025-03-01,931659.2045969929,897551.9957876309,965766.413406355
0103050L0AAABAB,2024-09-01,632359.0557361767,611005.673822434,653712.4376499193
0103050L0AAABAB,2024-10-01,648769.6299886963,627136.9231970417,670402.3367803509
0103050L0AAABAB,2024-11-01,656528.0016188734,634879.4891955196,678176.5140422273
0103050L0AAABAB,2024-12-01,670278.8021077131,645027.1449175685,695530.4592978576
0103050L0AAABAB,2025-01-01,681704.2881953608,656383.6362686667,707024.9401220549
0103050L0AAABAB,2025-02-01,633185.5834632388,607768.9592911436,658602.207635334
0103050L0AAABAB,2025-03-01,686221.8543960593,659333.0803095287,713110.6284825898
0103050P0AAAAAA,2024-09-01,3256897.4417966967,3157872.286083559,3355922.5975098344
0103050P0AAAAAA,2024-10-01,3230151.3217043527,3114277.4603023566,3346025.183106349
0103050P0AAAAAA,2024-11-01,3305467.6923724725,3184800.204161397,3426135.180583548
0103050P0AAAAAA,2024-12-01,3332814.433474128,3207536.607558562,3458092.2593896943
0103050P0AAAAAA,2025-01-01,3325641.2032554164,3195916.785272171,3455365.621238662
0103050P0AAAAAA,2025-02-01,3075917.7705889805,2941894.2070784816,3209941.3340994795
0103050P0AAAAAA,2025-03-01,3362724.072191925,3224535.047551711,3500913.0968321385
0105010E0AAABAB,2024-09-01,39542.00896310594,16998.542357777478,62085.4755684344
0105010E0AAABAB,2024-10-01,38309.989806316604,2805.448044692661,73814.53156794055
0105010E0AAABAB,2024-11-01,38309.989806316604,-11126.8573523679,87746.8369650011
0105010E0AAABAB,2024-12-01,38309.989806316604,-21918.169955371,98538.14956800421
0105010E0AAABAB,2025-01-01,38309.989806316604,-31050.37783665079,107670.357449284
0105010E0AAABAB,2025-02-01,38309.989806316604,-39112.81026482413,115732.78987745734
0105010E0AAABAB,2025-03-01,38309.989806316604,-46411.43217268506,123031.41178531827
0106040M0BCACAA,2024-09-01,365455.0343787846,328758.89770351513,402151.17105405405
0106040M0BCACAA,2024-10-01,371266.3748899537,332422.38892660406,410110.36085330334
0106040M0BCACAA,2024-11-01,367213.006496212,325342.570998649,409083.44199377496
0106040M0BCACAA,2024-12-01,367840.18815069326,320511.08396658744,415169.2923347991
0106040M0BCACAA,2025-01-01,368839.0946735826,318597.0182027663,419081.17114439886
0106040M0BCACAA,2025-02-01,367969.00034106197,314592.3925189958,421345.60816312814
0106040M0BCACAA,2025-03-01,368189.9933672713,311508.41722013213,424871.5695144105
0109040N0BDABAQ,2024-09-01,286204.0299570997,222992.2275531241,349415.8323610753
0109040N0BDABAQ,2024-10-01,286204.0299570997,221793.13206778193,350614.9278464175
0109040N0BDABAQ,2024-11-01,286204.0299570997,220615.95504513883,351792.10486906057
0109040N0BDABAQ,2024-12-01,286204.0299570997,219459.5367430086,352948.5231711908
0109040N0BDABAQ,2025-01-01,286204.0299570997,218322.81622196734,354085.24369223206
0109040N0BDABAQ,2025-02-01,286204.0299570997,217204.8199478279,355203.2399663715
0109040N0BDABAQ,2025-03-01,286204.0299570997,216104.65203081234,356303.40788338706
0204000H0AAAJAJ,2024-09-01,724419.60816209,706179.5374372958,742659.6788868841
0204000H0AAAJAJ,2024-10-01,743070.3659292076,720942.2250321159,765198.5068262994
0204000H0AAAJAJ,2024-11-01,749734.8606931799,727599.649734609,771870.0716517508
0204000H0AAAJAJ,2024-12-01,756638.0676074999,733151.9947111683,780124.1405038314
0204000H0AAAJAJ,2025-01-01,754764.0467760384,730798.1342424859,778729.9593095909
0204000H0AAAJAJ,2025-02-01,712254.2636892439,688285.9438461236,736222.5835323642
0204000H0AAAJAJ,2025-03-01,771327.9371700285,747114.8774170453,795540.9969230116
0205051R0AAABAB,2024-09-01,638839.1816619531,620910.2615587136,656768.1017651926
0205051R0AAABAB,2024-10-01,640787.6627514925,619668.2028129857,661907.1226899992
0205051R0AAABAB,2024-11-01,657672.9087394001,635772.8161165644,679573.0013622358
0205051R0AAABAB,2024-12-01,663591.9102746714,640938.0689738374,686245.7515755054
0205051R0AAABAB,2025-01-01,663515.5262206813,640132.2203278447,686898.8321135178
0205051R0AAABAB,2025-02-01,621793.9856039735,597703.2931425154,645884.6780654317
0205051R0AAABAB,2025-03-01,683580.3853446473,658802.4933425592,708358.2773467355
0205051R0AAADAD,2024-09-01,795399.2134207119,774260.290267782,816538.1365736418
0205051R0AAADAD,2024-10-01,789190.6235337249,763611.2971559162,814769.9499115336
0205051R0AAADAD,2024-11-01,813895.1689954598,787701.8698651316,840088.468125788
0205051R0AAADAD,2024-12-01,819138.6001329831,792345.3938911154,845931.8063748507
0205051R0AAADAD,2025-01-01,811281.6160821733,783901.6438011857,838661.588363161
0205051R0AAADAD,2025-02-01,758220.7107011209,730266.2859440981,786175.1354581437
0205051R0AAADAD,2025-03-01,830802.4118829585,802285.1040702555,859319.7196956614
0205052AEAAACAC,2024-09-01,38699.71364015508,36783.597250027015,40615.83003028315
0205052AEAAACAC,2024-10-01,39574.508663887034,37649.63272281188,41499.384604962186
0205052AEAAACAC,2024-11-01,40500.2305660875,38537.146006307594,42463.315125867404
0205052AEAAACAC,2024-12-01,41322.859087020406,39044.87153872204,43600.84663531877
0205052AEAAACAC,2025-01-01,42145.4876079533,39591.12789335582,44699.84732255078
0205052AEAAACAC,2025-02-01,42968.116128886206,40164.4970690076,45771.73518876481
0205052AEAAACAC,2025-03-01,43790.7446498191,40758.28589259408,46823.203407044115
0206020A0AAAAAA,2024-09-01,1493539.301024418,1451675.0847158544,1535403.5173329818
0206020A0AAAAAA,2024-10-01,1493503.011560018,1444764.4770044433,1542241.5461155926
0206020A0AAAAAA,2024-11-01,1537964.9215940456,1487048.2716933386,1588881.5714947525
0206020A0AAAAAA,2024-12-01,1557517.9613660693,1504512.624619687,1610523.2981124516
0206020A0AAAAAA,2025-01-01,1544917.2535415718,1489902.4717999015,1599932.0352832421
0206020A0AAAAAA,2025-02-01,1466414.519823902,1409461.1468195764,1523367.8928282277
0206020A0AAAAAA,2025-03-01,1601958.688800284,1543130.5732172052,1660786.8043833626
0206020A0AAABAB,2024-09-01,856446.7079429008,832220.473401305,880672.9424844966
0206020A0AAABAB,2024-10-01,875665.9696060668,849659.0011719493,901672.9380401843
0206020A0AAABAB,2024-11-01,898597.6673708028,872533.8760657554,924661.4586758503
0206020A0AAABAB,2024-12-01,898829.6848563184,869352.8472509105,928306.5224617263
0206020A0AAABAB,2025-01-01,916531.7321858443,887022.5690369143,946040.8953347744
0206020A0AAABAB,2025-02-01,862853.2624963432,833335.2924373703,892371.2325553162
0206020A0AAABAB,2025-03-01,937060.1688626349,906440.9550962315,967679.3826290383
0208020AAAAABAB,2024-09-01,142965.5990011719,131926.71502540202,154004.4829769418
0208020AAAAABAB,2024-10-01,145356.7217410425,132683.83528467658,158029.60819740844
0208020AAAAABAB,2024-11-01,147947.70627416988,129762.49780825875,166132.914740081
0208020AAAAABAB,2024-12-01,152010.289330259,127212.86446169237,176807.71419882562
